cycle,timestamp,concept_error,concept_stability,concept_dim,self_model_accuracy,self_model_confidence,num_goals,goal_stability,goal_revisit_bias,meta_triggered,meta_diversity,behavior_pattern,action_taken,reward_received
0,2026-04-15T23:56:22.378855,0.25675872475201905,0.5,4,0.0,0.8,0,0,0.0,0,0.5,explore,0,0.7
1,2026-04-15T23:56:22.378944,0.26315404834048833,0.5,4,0.0,0.8,0,0,0.0,0,0.5003999983333354,explore,0,0.7
2,2026-04-15T23:56:22.378969,0.26349605420880773,0.5,4,0.0,0.8,0,0,0.0,0,0.5007999866667333,explore,0,0.7
3,2026-04-15T23:56:22.378985,0.2699540347828258,0.5,4,0.0,0.8,0,0,0.0,0,0.5011999550005063,explore,0,0.7
4,2026-04-15T23:56:22.378996,0.265386622444039,0.5,4,0.0,0.8,0,0,0.0,0,0.5015998933354666,explore,0,0.7
5,2026-04-15T23:56:22.379007,0.2619893616286459,0.5,4,0.0,0.8,0,0,0.0,0,0.501999791673177,explore,0,0.7
6,2026-04-15T23:56:22.379017,0.27046118122606627,0.5,4,0.0,0.8,0,0,0.0,0,0.5023996400161996,explore,0,0.7
7,2026-04-15T23:56:22.379034,0.26323026783157183,0.5,4,0.125,0.8,0,0,0.0,0,0.5027994283683469,explore,0,0.7
8,2026-04-15T23:56:22.379046,0.266360845909614,0.5,4,0.2222222222222222,0.8,0,0,0.0,0,0.5031991467349307,explore,0,0.7
9,2026-04-15T23:56:22.379058,0.2740965082599732,0.5,4,0.3,0.8,0,0,0.0,0,0.5035987851230128,explore,0,0.7
10,2026-04-15T23:56:22.379069,0.2545552088487165,0.5,4,0.36363636363636365,0.8,0,0,0.0,0,0.5039983335416542,explore,0,0.7
11,2026-04-15T23:56:22.379081,0.2670429484958503,0.5,4,0.4166666666666667,0.8,0,0,0.0,0,0.5043977820021655,explore,0,0.7
12,2026-04-15T23:56:22.379093,0.2542085057587359,0.5,4,0.46153846153846156,0.8,0,0,0.0,0,0.5047971205183556,explore,0,0.7
13,2026-04-15T23:56:22.379105,0.2576455596694207,0.5,4,0.5,0.8,0,0,0.0,0,0.5051963391067826,explore,0,0.7
14,2026-04-15T23:56:22.379116,0.2692287359938831,0.5,4,0.5333333333333333,0.8,0,0,0.0,0,0.5055954277870026,explore,0,0.7
15,2026-04-15T23:56:22.379128,0.25282343903624,0.5,4,0.5625,0.8,0,0,0.0,0,0.5059943765818193,explore,0,0.7
16,2026-04-15T23:56:22.379138,0.2600924805108604,0.5,4,0.5882352941176471,0.8,0,0,0.0,0,0.5063931755175338,explore,0,0.7
17,2026-04-15T23:56:22.379150,0.2585100933084611,0.5,4,0.6111111111111112,0.8,0,0,0.0,0,0.5067918146241933,explore,0,0.7
18,2026-04-15T23:56:22.379162,0.2675651828513985,0.5,4,0.631578947368421,0.8,0,0,0.0,0,0.5071902839358409,explore,0,0.7
19,2026-04-15T23:56:22.379174,0.25564656769242977,0.9997731827110289,4,0.65,0.8,0,0,0.0,0,0.5075885734907646,explore,0,0.7
20,2026-04-15T23:56:22.379185,0.2566464789383655,0.9997726362859385,4,0.6666666666666666,0.8,0,0,0.0,0,0.5079866733317463,explore,0,0.7
21,2026-04-15T23:56:22.379198,0.2597371900477232,0.999797969595345,4,0.6818181818181818,0.8,0,0,0.0,0,0.5083845735063106,explore,0,0.7
22,2026-04-15T23:56:22.379210,0.2549753459487872,0.9997818640846725,4,0.6956521739130435,0.8,0,0,0.0,0,0.508782264066974,explore,0,0.7
23,2026-04-15T23:56:22.379222,0.26615661886745157,0.9997814171189621,4,0.7083333333333334,0.8,0,0,0.0,0,0.5091797350714931,explore,0,0.7
24,2026-04-15T23:56:22.379235,0.263110758667712,0.9997681532900955,4,0.72,0.8,0,0,0.0,0,0.5095769765831135,explore,0,0.7
25,2026-04-15T23:56:22.379246,0.2663817787512094,0.9997578282623515,4,0.7307692307692307,0.8,0,0,0.0,0,0.5099739786708182,explore,0,0.7
26,2026-04-15T23:56:22.379298,0.26224545627949614,0.9997366741947616,4,0.7407407407407407,0.8,0,0,0.0,0,0.5103707314095756,explore,0,0.7
27,2026-04-15T23:56:22.379319,0.28613072469520745,0.9997506747046454,4,0.75,0.8,0,0,0.0,0,0.5107672248805879,explore,0,0.7
28,2026-04-15T23:56:22.379337,0.2599268669140181,0.9997759006099243,4,0.7586206896551724,0.8,0,0,0.0,0,0.5111634491715389,explore,0,0.7
29,2026-04-15T23:56:22.379352,0.2671998531981677,0.9997748039877893,4,0.7666666666666667,0.8,0,0,0.0,0,0.5115593943768422,explore,0,0.7
30,2026-04-15T23:56:22.379364,0.25265449384979405,0.9997653235105791,4,0.7741935483870968,0.8,0,0,0.0,0,0.5119550505978879,explore,0,0.7
31,2026-04-15T23:56:22.379376,0.27387494756343966,0.9997603310751471,4,0.78125,0.8,0,0,0.0,0,0.5123504079432915,explore,0,0.7
32,2026-04-15T23:56:22.379388,0.2701222013577762,0.9997777329522523,4,0.7878787878787878,0.8,0,0,0.0,0,0.5127454565291397,explore,0,0.7
33,2026-04-15T23:56:22.379401,0.2679825965541516,0.9997801620382154,4,0.7941176470588235,0.8,0,0,0.1,0,0.5131401864792384,explore,0,0.7
34,2026-04-15T23:56:22.379413,0.2744627179322633,0.9998030463716819,4,0.8,0.8,0,0,0.09636696406718193,0,0.5135345879253597,explore,0,0.7
35,2026-04-15T23:56:22.379425,0.2553128860905448,0.9998142466431472,4,0.8055555555555556,0.8,0,0,0.09749072405065559,0,0.5139286510074876,explore,0,0.7
36,2026-04-15T23:56:22.379442,0.25551507578364685,0.9998196339573434,4,0.8108108108108109,0.8,0,0,0.09488480150856242,0,0.5143223658740659,explore,0,0.7
37,2026-04-15T23:56:22.379457,0.25538677882916916,0.9998251368173988,4,0.8157894736842105,0.8,0,0,0.09795099052902626,0,0.5147157226822433,explore,0,0.7
38,2026-04-15T23:56:22.379470,0.25683001802716854,0.9998192296316916,4,0.8205128205128205,0.8,0,0,0.09574583445639444,0,0.51510871159812,explore,0,0.7
39,2026-04-15T23:56:22.379483,0.2655229704125939,0.9998113432224175,4,0.825,0.8,0,0,0.09631342698002174,0,0.5155013227969938,explore,0,0.7
40,2026-04-15T23:56:22.379495,0.2630876144593184,0.9998090054536949,4,0.8292682926829268,0.8,0,0,0.09667531191371495,0,0.5158935464636049,explore,0,0.7
41,2026-04-15T23:56:22.379509,0.2610261627059971,0.9998044266162798,4,0.8333333333333334,0.8,0,0,0.09633794667721701,0,0.5162853727923823,explore,0,0.7
42,2026-04-15T23:56:22.379525,0.25537670139560675,0.9997950383710874,4,0.8372093023255814,0.8,0,0,0.09544731720868675,0,0.516676791987688,explore,0,0.7
43,2026-04-15T23:56:22.379539,0.2627390653680579,0.9997796326179769,4,0.8409090909090909,0.8,0,0,0.0967185605979777,0,0.5170677942640626,explore,0,0.7
44,2026-04-15T23:56:22.379552,0.26405718836024594,0.9997845596932614,4,0.8444444444444444,0.8,0,0,0.09589910116971356,0,0.5174583698464695,explore,0,0.7
45,2026-04-15T23:56:22.379566,0.26226760066894916,0.9998014347720097,4,0.8478260869565217,0.8,0,0,0.09639042463582194,0,0.5178485089705397,explore,0,0.7
46,2026-04-15T23:56:22.379579,0.2683451791551009,0.9998203830863919,4,0.851063829787234,0.8,0,0,0.09579724985379681,0,0.5182382018828151,explore,0,0.7
47,2026-04-15T23:56:22.379592,0.2585031866300874,0.9998170795093372,4,0.8541666666666666,0.8,0,0,0.09619173099382927,0,0.5186274388409934,explore,0,0.7
48,2026-04-15T23:56:22.379608,0.25396111567701557,0.9998261950594455,4,0.8571428571428571,0.8,0,0,0.09634251758725908,0,0.5190162101141708,explore,0,0.7
49,2026-04-15T23:56:22.379622,0.2500252228537243,0.9998135477351483,4,0.86,0.8,0,0,0.09669014536784959,0,0.5194045059830857,explore,0,0.7
50,2026-04-15T23:56:22.379634,0.2637915361660093,0.9997965303197902,4,0.8627450980392157,0.8,0,0,0.09635832283983488,0,0.5197923167403619,explore,0,0.7
51,2026-04-15T23:56:22.379647,0.26293661474723556,0.9997924919285975,4,0.8653846153846154,0.8,0,0,0.09729540044479512,0,0.5201796326907503,explore,0,0.7
52,2026-04-15T23:56:22.379660,0.25702706960611377,0.9997983232926068,4,0.8679245283018868,0.8,0,0,0.09627749890090355,0,0.5205664441513724,explore,0,0.7
53,2026-04-15T23:56:22.379673,0.25379182827998475,0.9997945738824066,4,0.8703703703703703,0.8,0,0,0.0965702683899044,0,0.5209527414519619,explore,0,0.7
54,2026-04-15T23:56:22.379686,0.2593308893519936,0.9997792604709577,4,0.8727272727272727,0.8,0,0,0.09796119254748872,0,0.5213385149351065,explore,0,0.7
55,2026-04-15T23:56:22.379708,0.2426609244400787,0.9997704947040256,4,0.875,0.8,0,0,0.09695622485166318,0,0.521723754956489,explore,0,0.7
56,2026-04-15T23:56:22.379721,0.24267136847427168,0.9997728933572545,4,0.8771929824561403,0.8,0,0,0.1,0,0.5221084518851291,explore,0,0.7
57,2026-04-15T23:56:22.379733,0.25786712236596737,0.9997736059882709,4,0.8793103448275862,0.8,0,0,0.09769823935497528,0,0.5224925961036235,explore,0,0.7
58,2026-04-15T23:56:22.379746,0.25280753219942464,0.9997711327796842,4,0.8813559322033898,0.8,0,0,0.1,0,0.5228761780083868,explore,0,0.7
59,2026-04-15T23:56:22.379759,0.2513532537636838,0.9998012998760507,4,0.8833333333333333,0.8,0,0,0.1,0,0.5232591880098915,explore,0,0.7
60,2026-04-15T23:56:22.379810,0.25927401300964076,0.9997813683595927,4,0.8852459016393442,0.8,0,0,0.09643713974319405,0,0.5236416165329072,explore,0,0.7
61,2026-04-15T23:56:22.379826,0.2544343281621134,0.9997669966195578,4,0.8870967741935484,0.8,0,0,0.09714641847160131,0,0.5240234540167409,explore,0,0.7
62,2026-04-15T23:56:22.379839,0.24240783149672746,0.9997966497467702,4,0.8888888888888888,0.8,0,0,0.09783952488615393,0,0.5244046909154755,explore,0,0.7
63,2026-04-15T23:56:22.379852,0.2544127693037073,0.9998041669233413,4,0.890625,0.8,0,0,0.09697965259852682,0,0.5247853176982082,explore,0,0.7
64,2026-04-15T23:56:22.379865,0.25895999339383313,0.9998041962509282,4,0.8923076923076924,0.8,0,0,0.1,0,0.5251653248492895,explore,0,0.7
