cycle,concept_error,concept_stability,concept_dim,self_model_accuracy,meta_triggered,num_goals,goal_stability,revisit_bias
0,0.25675872475201905,0.5,4,0.0,0,0,0,0.0
1,0.26315404834048833,0.5,4,0.0,0,0,0,0.0
2,0.26349605420880773,0.5,4,0.0,0,0,0,0.0
3,0.2699540347828258,0.5,4,0.0,0,0,0,0.0
4,0.265386622444039,0.5,4,0.0,0,0,0,0.0
5,0.2619893616286459,0.5,4,0.0,0,0,0,0.0
6,0.27046118122606627,0.5,4,0.0,0,0,0,0.0
7,0.26323026783157183,0.5,4,0.125,0,0,0,0.0
8,0.266360845909614,0.5,4,0.2222222222222222,0,0,0,0.0
9,0.2740965082599732,0.5,4,0.3,0,0,0,0.0
10,0.2545552088487165,0.5,4,0.36363636363636365,0,0,0,0.0
11,0.2670429484958503,0.5,4,0.4166666666666667,0,0,0,0.0
12,0.2542085057587359,0.5,4,0.46153846153846156,0,0,0,0.0
13,0.2576455596694207,0.5,4,0.5,0,0,0,0.0
14,0.2692287359938831,0.5,4,0.5333333333333333,0,0,0,0.0
15,0.25282343903624,0.5,4,0.5625,0,0,0,0.0
16,0.2600924805108604,0.5,4,0.5882352941176471,0,0,0,0.0
17,0.2585100933084611,0.5,4,0.6111111111111112,0,0,0,0.0
18,0.2675651828513985,0.5,4,0.631578947368421,0,0,0,0.0
19,0.25564656769242977,0.9997731827110289,4,0.65,0,0,0,0.0
20,0.2566464789383655,0.9997726362859385,4,0.6666666666666666,0,0,0,0.0
21,0.2597371900477232,0.999797969595345,4,0.6818181818181818,0,0,0,0.0
22,0.2549753459487872,0.9997818640846725,4,0.6956521739130435,0,0,0,0.0
23,0.26615661886745157,0.9997814171189621,4,0.7083333333333334,0,0,0,0.0
24,0.263110758667712,0.9997681532900955,4,0.72,0,0,0,0.0
25,0.2663817787512094,0.9997578282623515,4,0.7307692307692307,0,0,0,0.0
26,0.26224545627949614,0.9997366741947616,4,0.7407407407407407,0,0,0,0.0
27,0.28613072469520745,0.9997506747046454,4,0.75,0,0,0,0.0
28,0.2599268669140181,0.9997759006099243,4,0.7586206896551724,0,0,0,0.0
29,0.2671998531981677,0.9997748039877893,4,0.7666666666666667,0,0,0,0.0
30,0.25265449384979405,0.9997653235105791,4,0.7741935483870968,0,0,0,0.0
31,0.27387494756343966,0.9997603310751471,4,0.78125,0,0,0,0.0
32,0.2701222013577762,0.9997777329522523,4,0.7878787878787878,0,0,0,0.0
33,0.2679825965541516,0.9997801620382154,4,0.7941176470588235,0,0,0,0.1
34,0.2744627179322633,0.9998030463716819,4,0.8,0,0,0,0.09636696406718193
35,0.2553128860905448,0.9998142466431472,4,0.8055555555555556,0,0,0,0.09749072405065559
36,0.25551507578364685,0.9998196339573434,4,0.8108108108108109,0,0,0,0.09488480150856242
37,0.25538677882916916,0.9998251368173988,4,0.8157894736842105,0,0,0,0.09795099052902626
38,0.25683001802716854,0.9998192296316916,4,0.8205128205128205,0,0,0,0.09574583445639444
39,0.2655229704125939,0.9998113432224175,4,0.825,0,0,0,0.09631342698002174
40,0.2630876144593184,0.9998090054536949,4,0.8292682926829268,0,0,0,0.09667531191371495
41,0.2610261627059971,0.9998044266162798,4,0.8333333333333334,0,0,0,0.09633794667721701
